2024-03-01 03:20:37 trigproc man-db:amd64 2.9.1-1 <none>
2024-03-01 03:20:37 status half-configured man-db:amd64 2.9.1-1
2024-03-01 03:20:40 status installed man-db:amd64 2.9.1-1
2024-03-01 03:20:40 trigproc ufw:all 0.36-6ubuntu1.1 <none>
2024-03-01 03:20:40 status half-configured ufw:all 0.36-6ubuntu1.1
2024-03-01 03:20:40 status installed ufw:all 0.36-6ubuntu1.1
2024-03-01 19:32:10 startup archives unpack
2024-03-01 19:32:10 upgrade tzdata:all 2023c-0ubuntu0.20.04.2 2024a-0ubuntu0.20.04
2024-03-01 19:32:10 status half-configured tzdata:all 2023c-0ubuntu0.20.04.2
2024-03-01 19:32:10 status unpacked tzdata:all 2023c-0ubuntu0.20.04.2
2024-03-01 19:32:10 status half-installed tzdata:all 2023c-0ubuntu0.20.04.2
2024-03-01 19:32:11 status unpacked tzdata:all 2024a-0ubuntu0.20.04
2024-03-01 19:32:11 startup packages configure
2024-03-01 19:32:11 configure tzdata:all 2024a-0ubuntu0.20.04 <none>
2024-03-01 19:32:11 status unpacked tzdata:all 2024a-0ubuntu0.20.04
2024-03-01 19:32:11 status half-configured tzdata:all 2024a-0ubuntu0.20.04
2024-03-01 19:32:11 status installed tzdata:all 2024a-0ubuntu0.20.04
2024-03-01 21:11:25 startup archives unpack
2024-03-01 21:11:25 install liberror-perl:all <none> 0.17029-1
2024-03-01 21:11:25 status half-installed liberror-perl:all 0.17029-1
2024-03-01 21:11:25 status triggers-pending man-db:amd64 2.9.1-1
2024-03-01 21:11:25 status unpacked liberror-perl:all 0.17029-1
2024-03-01 21:11:26 install git-man:all <none> 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:26 status half-installed git-man:all 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:26 status unpacked git-man:all 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:26 install git:amd64 <none> 1:2.25.1-1ubuntu3.11
2024-03-01 21:11:26 status half-installed git:amd64 1:2.25.1-1ubuntu3.11
